design,day,variant,work_units,cycles,ok
day1,1,day1,4,5,true
day1,1,day1_opt_a,4,5,true
day1,1,day1_opt_b,4,6,false
day1,1,day1_opt_c_tree8,8,2,false
day1,1,day1_opt_d_microcoded,4,189,true
day2,2,day2,2,30,true
day2,2,day2_opt_a_sequential,2,30,true
day2,2,day2_opt_b_multilane,2,1,true
day2,2,day2_opt_c_family_unroll,1,1,true
day2,2,day2_opt_a_range_sum_engine,2,30,true
day3,3,day3,15,5,true
day3,3,day3_opt_a,15,5,true
day3,3,day3_opt_b,15,50,false
day3,3,day3_opt_c,15,3,true
day4,4,day4,10,12,true
day4,4,day4_opt_a,10,12,true
day4,4,day4_opt_b,10,12,true
day4,4,day4_opt_c,10,12,true
day5,5,day5,18,36,true
day5,5,day5_opt_a,18,36,true
day5,5,day5_opt_b,18,36,true
day5,5,day5_opt_c,18,36,true
day6,6,day6,5,8,true
day6,6,day6_opt_a,5,8,true
day6,6,day6_opt_b,5,8,true
day6,6,day6_opt_c,5,8,true
day7,7,day7,4,30,true
day7,7,day7_opt_a,4,30,true
day7,7,day7_opt_b,4,7,true
day8,8,day8,11,32,true
day8,8,day8_opt_a,11,32,true
day8,8,day8_opt_b,11,32,true
day8,8,day8_opt_c,11,32,true
day9,9,day9,4,12,true
day9,9,day9_opt_a,4,12,true
day9,9,day9_opt_b,4,12,true
day10,10,day10,3,6,true
day10,10,day10_opt_a,3,6,true
day11,11,day11,7,10,true
day11,11,day11_opt_a,7,10,true
day11,11,day11_opt_b,7,10,true
day11,11,day11_opt_c,7,10,true
day12,12,day12,22,25,true
day12,12,day12_opt_a,22,25,true
day12,12,day12_opt_b,22,25,true
day12,12,day12_opt_c,22,25,true
