variant,day,design,work_units,cycles,ok,cells_total,cmos_area,yosys_stat_path
day1,1,day1,4,5,true,,,
day10,10,day10,3,6,true,781,,build/day10_yosys_stat.json
day10_opt_a,10,day10,3,6,true,781,,build/day10_opt_a_yosys_stat.json
day11,11,day11,7,10,true,50201,,build/day11_yosys_stat.json
day11_opt_a,11,day11,7,10,true,50201,,build/day11_opt_a_yosys_stat.json
day11_opt_b,11,day11,7,10,true,50201,,build/day11_opt_b_yosys_stat.json
day11_opt_c,11,day11,7,10,true,50201,,build/day11_opt_c_yosys_stat.json
day12,12,day12,22,25,true,,,
day12_opt_a,12,day12,22,25,true,,,
day12_opt_b,12,day12,22,25,true,,,
day12_opt_c,12,day12,22,25,true,,,
day1_opt_a,1,day1,4,5,true,,,
day1_opt_b,1,day1,4,6,false,,,
day1_opt_c_tree8,1,day1,8,2,false,,,
day1_opt_d_microcoded,1,day1,4,189,true,,,
day2,2,day2,2,30,true,,,
day2_opt_a_range_sum_engine,2,day2,2,30,true,,,
day2_opt_a_sequential,2,day2,2,30,true,,,
day2_opt_b_multilane,2,day2,2,1,true,,,
day2_opt_c_family_unroll,2,day2,1,1,true,,,
day3,3,day3,15,5,true,27816,,build/day3_yosys_stat.json
day3_opt_a,3,day3,15,5,true,27816,,build/day3_opt_a_yosys_stat.json
day3_opt_b,3,day3,15,50,false,10587,,build/day3_opt_b_yosys_stat.json
day3_opt_c,3,day3,15,3,true,33473,,build/day3_opt_c_yosys_stat.json
day4,4,day4,10,12,true,,,
day4_opt_a,4,day4,10,12,true,,,
day4_opt_b,4,day4,10,12,true,,,
day4_opt_c,4,day4,10,12,true,,,
day5,5,day5,18,36,true,171234,,build/day5_yosys_stat.json
day5_opt_a,5,day5,18,36,true,171234,,build/day5_opt_a_yosys_stat.json
day5_opt_b,5,day5,18,36,true,171234,,build/day5_opt_b_yosys_stat.json
day5_opt_c,5,day5,18,36,true,171234,,build/day5_opt_c_yosys_stat.json
day6,6,day6,5,8,true,49882,,build/day6_yosys_stat.json
day6_opt_a,6,day6,5,8,true,49882,,build/day6_opt_a_yosys_stat.json
day6_opt_b,6,day6,5,8,true,49882,,build/day6_opt_b_yosys_stat.json
day6_opt_c,6,day6,5,8,true,49882,,build/day6_opt_c_yosys_stat.json
day7,7,day7,4,30,true,220845,,build/day7_yosys_stat.json
day7_opt_a,7,day7,4,30,true,220845,,build/day7_opt_a_yosys_stat.json
day7_opt_b,7,day7,4,7,true,460914,,build/day7_opt_b_yosys_stat.json
day8,8,day8,11,32,true,,,
day8_opt_a,8,day8,11,32,true,,,
day8_opt_b,8,day8,11,32,true,,,
day8_opt_c,8,day8,11,32,true,,,
day9,9,day9,4,12,true,348549,,build/day9_yosys_stat.json
day9_opt_a,9,day9,4,12,true,348549,,build/day9_opt_a_yosys_stat.json
day9_opt_b,9,day9,4,12,true,348549,,build/day9_opt_b_yosys_stat.json
